=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"273,1120,552,4,-5360,6832,-32592,0x3,145,0\n"
~"274,1122,554,4,-4576,7424,-32592,0x3,209,0\n"
~"275,1124,556,4,-3856,7872,-32592,0x3,17,0\n"
~"276,1126,558,4,-2752,8432,-32592,0x3,81,0\n"
~"277,1128,560,4,-960,8944,-32592,0x3,113,0\n"
~"278,1130,562,4,3168,9360,-32592,0x3,177,0\n"
~"279,1132,564,4,8464,8016,-32592,0x3,241,0\n"
~"280,1134,566,4,11312,5792,-32592,0x3,49,0\n"
~"281,1136,568,4,12464,3904,-32592,0x3,81,0\n"
~"282,1138,570,4,12976,2560,-32592,0x3,145,0\n"
~"283,1140,572,4,13296,1328,-32592,0x3,209,0\n"
~"284,1142,574,4,13456,-768,-32592,0x3,241,0\n"
~"285,1144,576,4,13088,-3680,-32592,0x3,49,0\n"
~"286,1146,578,4,12400,-5872,-32592,0x3,113,0\n"
~"287,1148,580,4,11680,-7600,-32592,0x3,145,0\n"
~"288,1150,582,4,10480,-9328,-32592,0x3,209,0\n"
~"289,1152,584,4,9008,-10992,-32560,0x3,241,0\n"
~"290,1154,586,4,7552,-12096,-32560,0x3,49,0\n"
~"291,1156,588,4,5072,-13408,-32560,0x3,113,0\n"
~"292,1158,590,4,2864,-13952,-32592,0x3,145,0\n"
~"293,1160,592,4,-1296,-13840,-32592,0x3,209,0\n"
~"294,1162,594,4,-5072,-12480,-32592,0x3,177,0\n"
~"295,1164,596,4,-7056,-11216,-32592,0x3,81,0\n"
~"296,1166,598,4,-8208,-9600,-32592,0x3,145,0\n"
~"297,1168,600,4,-9504,-7200,-32592,0x3,209,0\n"
~"298,1170,602,4,-10224,-4800,-32592,0x3,17,0\n"
~"299,1172,604,4,-10288,-3200,-32592,0x3,81,0\n"
~"300,1174,606,4,-10272,-1856,-32592,0x3,145,0\n"
~"301,1176,608,4,-10144,-192,-32592,0x3,209,0\n"
~"302,1178,610,4,-9536,1808,-32592,0x3,241,0\n"
~"303,1180,612,4,-9360,2352,-32592,0x3,17,0\n"
~"304,1182,614,4,-8912,3200,-32592,0x3,81,0\n"
~"305,1184,616,4,-8368,4080,-32560,0x3,145,0\n"
~"306,1186,618,4,-7696,4800,-32592,0x3,177,0\n"
~"307,1189,621,4,-5504,6848,-32560,0x3,49,0\n"
~"308,1191,623,4,-528,9440,-32592,0x3,113,0\n"
~"309,1193,625,4,2640,9584,-32592,0x3,177,0\n"
~"310,1195,627,4,6544,8960,-32592,0x3,241,0\n"
~"311,1197,629,4,8400,8080,-32592,0x3,49,0\n"
~"312,1199,631,4,9616,7232,-32592,0x3,113,0\n"
~"313,1201,633,4,10528,6304,-32592,0x3,209,0\n"
~"314,1203,635,4,11888,4432,-32592,0x3,241,0\n"
~"315,1205,637,4,12992,1648,-32592,0x3,17,0\n"
~"316,1207,639,4,13360,-1280,-32592,0x3,81,0\n"
~"317,1209,641,4,13008,-4320,-32560,0x3,145,0\n"
~"318,1211,643,4,12288,-7216,-32592,0x3,177,0\n"
~"319,1213,645,4,11872,-8096,-32592,0x3,113,0\n"
~"320,1215,647,4,11472,-8448,-32592,0x3,17,0\n"
~"321,1217,649,4,11056,-8912,-32592,0x3,49,0\n"
~"322,1219,651,4,9680,-10576,-32592,0x3,113,0\n"
~"323,1221,653,4,6352,-12544,-32592,0x3,177,0\n"
~"324,1223,655,4,2224,-13728,-32592,0x3,209,0\n"
~"325,1225,657,4,-1408,-13776,-32592,0x3,17,0\n"
~"326,1227,659,4,-4128,-12848,-32592,0x3,49,0\n"
~"327,1229,661,4,-6496,-11632,-32592,0x3,113,0\n"
~"328,1231,663,4,-7968,-9952,-32592,0x3,177,0\n"
~"329,1233,665,4,-8800,-8704,-32592,0x3,241,0\n"
~"330,1235,667,4,-9408,-7472,-32592,0x3,49,0\n"
~"331,1237,669,4,-10304,-4560,-32560,0x3,113,0\n"
~"332,1239,671,4,-10528,-1184,-32592,0x3,145,0\n"
~"333,1241,673,4,-10032,1360,-32592,0x3,209,0\n"
~"334,1243,675,4,-9600,2528,-32592,0x3,17,0\n"
~"335,1245,677,4,-8352,4320,-32592,0x3,49,0\n"
~"336,1247,679,4,-6688,6208,-32592,0x3,113,0\n"
~"337,1249,681,4,-4112,8080,-32560,0x3,177,0\n"
~"338,1251,683,4,-1104,9104,-32592,0x3,241,0\n"
~"339,1253,685,4,1488,9328,-32592,0x3,17,0\n"
~"340,1255,687,4,4240,9152,-32560,0x3,81,0\n"
~"341,1257,689,4,7088,8480,-32592,0x3,113,0\n"
~"342,1259,691,4,9664,7120,-32560,0x3,177,0\n"
~"343,1261,693,4,11264,5616,-32592,0x3,241,0\n"
~"344,1263,695,4,11904,4928,-32592,0x3,177,0\n"
~"345,1265,697,4,12752,3360,-32592,0x3,81,0\n"
~"346,1267,699,4,13504,-1104,-32592,0x3,145,0\n"
~"347,1269,701,4,12848,-4848,-32592,0x3,177,0\n"
~"348,1271,703,4,12176,-6976,-32592,0x3,241,0\n"
~"349,1273,705,4,11936,-7504,-32592,0x3,49,0\n"
~"350,1275,707,4,11520,-8080,-32560,0x3,113,0\n"
~"351,1277,709,4,10432,-9328,-32592,0x3,177,0\n"
~"352,1279,711,4,8272,-11488,-32592,0x3,241,0\n"
~"353,1281,713,4,5632,-12816,-32560,0x3,17,0\n"
~"354,1283,715,4,3120,-13648,-32592,0x3,81,0\n"
~"355,1285,717,4,1328,-13840,-32592,0x3,145,0\n"
~"356,1287,719,4,-1008,-13840,-32592,0x3,177,0\n"
~"357,1290,722,4,-4080,-13024,-32592,0x3,81,0\n"
~"358,1292,724,4,-5872,-12272,-32592,0x3,145,0\n"
~"359,1294,726,4,-7504,-10864,-32592,0x3,177,0\n"
~"360,1296,728,4,-9488,-8192,-32592,0x3,241,0\n"
~"361,1298,730,4,-10672,-4464,-32592,0x3,49,0\n"
~"362,1300,732,4,-10320,96,-32592,0x3,113,0\n"
~"363,1302,734,4,-9472,2240,-32592,0x3,177,0\n"
~"364,1304,736,4,-8480,3824,-32592,0x3,241,0\n"
~"365,1306,738,4,-7904,4528,-32592,0x3,49,0\n"
~"366,1308,740,4,-6912,5552,-32592,0x3,113,0\n"
~"367,1310,742,4,-5392,6960,-32592,0x3,177,0\n"
~"368,1312,744,4,-3392,8176,-32592,0x3,241,0\n"
~"369,1314,746,4,-2512,8656,-32560,0x3,209,0\n"
~"370,1316,748,4,-1712,8880,-32592,0x3,113,0\n"
~"371,1318,750,4,1424,9568,-32560,0x3,177,0\n"
~"372,1320,752,4,7568,8400,-32592,0x3,241,0\n"
~"373,1322,754,4,11104,5744,-32592,0x3,49,0\n"
~"374,1324,756,4,12352,3616,-32592,0x3,113,0\n"
~"375,1326,758,4,12928,2016,-32592,0x3,177,0\n"
~"376,1328,760,4,13232,384,-32592,0x3,209,0\n"
~"377,1330,762,4,13248,-1328,-32592,0x3,17,0\n"
~"378,1332,764,4,13216,-2592,-32592,0x3,49,0\n"
~"379,1334,766,4,13072,-3232,-32592,0x3,113,0\n"
~"380,1336,768,4,12896,-4064,-32592,0x3,177,0\n"
~"381,1338,770,4,12256,-6656,-32592,0x3,241,0\n"
~"382,1340,772,4,11408,-8176,-32592,0x3,49,0\n"
~"383,1342,774,4,10320,-9392,-32592,0x3,113,0\n"
~"384,1344,776,4,7952,-11664,-32592,0x3,177,0\n"
~"385,1346,778,4,5120,-13168,-32592,0x3,241,0\n"
~"386,1348,780,4,2160,-13888,-32560,0x3,49,0\n"
~"387,1350,782,4,-1264,-14080,-32592,0x3,113,0\n"
~"388,1352,784,4,-4160,-13264,-32592,0x3,145,0\n"
~"389,1354,786,4,-6768,-11760,-32592,0x3,209,0\n"
~"390,1356,788,4,-8736,-9296,-32592,0x3,17,0\n"
~"391,1358,790,4,-9824,-6480,-32592,0x3,49,0\n"
~"392,1360,792,4,-10352,-3200,-32592,0x3,113,0\n"
~"393,1362,794,4,-10048,0,-32592,0x3,177,0\n"
~"394,1364,796,4,-9632,1840,-32560,0x3,113,0\n"
~"395,1366,798,4,-9376,2240,-32592,0x3,17,0\n"
~"396,1368,800,4,-9216,2640,-32592,0x3,49,0\n"
~"397,1370,802,4,-8848,3168,-32592,0x3,113,0\n"
~"398,1372,804,4,-8544,3808,-32592,0x3,177,0\n"
~"399,1374,806,4,-8240,4176,-32592,0x3,241,0\n"
~"400,1376,808,4,-5408,4752,-32592,0x3,81,0\n"
~"401,1378,810,4,1072,5120,-32592,0x3,113,0\n"
~"402,1380,812,4,8224,5584,-32560,0x3,177,0\n"
~"403,1382,814,4,11648,4736,-32592,0x3,241,0\n"
~"404,1384,816,4,12480,3168,-32592,0x3,49,0\n"
~"405,1386,818,4,12880,1776,-32592,0x3,113,0\n"
~"406,1388,820,4,13152,-160,-32592,0x3,177,0\n"
~"407,1391,823,4,12944,-4144,-32592,0x3,49,0\n"
~"408,1393,825,4,12432,-6224,-32592,0x3,81,0\n"
~"409,1395,827,4,11792,-7696,-32560,0x3,145,0\n"
~"410,1397,829,4,11168,-8656,-32560,0x3,209,0\n"
~"411,1399,831,4,10128,-10096,-32560,0x3,17,0\n"
~"412,1401,833,4,9344,-10880,-32592,0x3,113,0\n"
~"413,1403,835,4,7824,-12000,-32592,0x3,145,0\n"
~"414,1405,837,4,2896,-13952,-32592,0x3,209,0\n"
~"415,1407,839,4,-1232,-14048,-32592,0x3,17,0\n"
~"416,1409,841,4,-4768,-12816,-32592,0x3,49,0\n"
~"417,1411,843,4,-6976,-11248,-32560,0x3,113,0\n"
~"418,1413,845,4,-7504,-10432,-32592,0x3,177,0\n"
~"419,1415,847,4,-8608,-8880,-32592,0x3,113,0\n"
~"420,1417,849,4,-9776,-6480,-32560,0x3,17,0\n"
~"421,1419,851,4,-10656,-2800,-32592,0x3,81,0\n"
