=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"354,1118,716,3,-7664,17456,-32592,0x1,49,0\n"
~"355,1120,718,3,-7408,17696,-32560,0x1,113,0\n"
~"356,1122,720,3,-5008,18400,-32560,0x1,177,0\n"
~"357,1124,722,3,-1664,19456,-32560,0x1,241,0\n"
~"358,1126,724,3,784,19696,-32560,0x1,81,0\n"
~"359,1128,726,3,2720,19872,-32592,0x1,113,0\n"
~"360,1130,728,3,7328,19920,-32560,0x1,177,0\n"
~"361,1132,730,3,10496,19248,-32592,0x1,241,0\n"
~"362,1134,732,3,15936,17824,-32560,0x1,49,0\n"
~"363,1136,734,3,19056,15968,-32592,0x1,113,0\n"
~"364,1138,736,3,20880,14352,-32592,0x1,177,0\n"
~"365,1140,738,3,21808,13584,-32592,0x1,241,0\n"
~"366,1142,740,3,23456,11568,-32560,0x1,49,0\n"
~"367,1145,743,3,24928,9296,-32560,0x1,241,0\n"
~"368,1147,745,3,26400,5136,-32592,0x1,241,0\n"
~"369,1149,747,3,26752,2912,-32592,0x1,49,0\n"
~"370,1151,749,3,27056,1760,-32592,0x1,145,0\n"
~"371,1153,751,3,27040,192,-32592,0x1,177,0\n"
~"372,1155,753,3,26896,-2272,-32560,0x1,241,0\n"
~"373,1157,755,3,26592,-5984,-32592,0x1,49,0\n"
~"374,1159,757,3,25936,-9776,-32560,0x1,113,0\n"
~"375,1161,759,3,24064,-15520,-32560,0x1,177,0\n"
~"376,1163,761,3,22656,-17472,-32560,0x1,241,0\n"
~"377,1165,763,3,21456,-19712,-32592,0x1,49,0\n"
~"378,1167,765,3,19952,-21104,-32592,0x1,113,0\n"
~"379,1169,767,3,18336,-22800,-32592,0x1,177,0\n"
~"380,1171,769,3,18144,-22960,-32560,0x1,241,0\n"
~"381,1173,771,3,15984,-24176,-32560,0x1,49,0\n"
~"382,1175,773,3,9232,-27264,-32560,0x1,113,0\n"
~"383,1177,775,3,2080,-27680,-32592,0x1,177,0\n"
~"384,1179,777,3,-3328,-27408,-32592,0x1,241,0\n"
~"385,1181,779,3,-12336,-24368,-32560,0x1,49,0\n"
~"386,1183,781,3,-17712,-20416,-32592,0x1,113,0\n"
~"387,1185,783,3,-20256,-15968,-32592,0x1,177,0\n"
~"388,1187,785,3,-21424,-12992,-32592,0x1,241,0\n"
~"389,1189,787,3,-21904,-10496,-32560,0x1,49,0\n"
~"390,1191,789,3,-22384,-8400,-32560,0x1,113,0\n"
~"391,1193,791,3,-22912,-5168,-32592,0x1,177,0\n"
~"392,1195,793,3,-22608,-1568,-32592,0x1,49,0\n"
~"393,1197,795,3,-20784,4448,-32592,0x1,81,0\n"
~"394,1199,797,3,-18400,8656,-32560,0x1,145,0\n"
~"395,1201,799,3,-15456,11920,-32560,0x1,241,0\n"
~"396,1203,801,3,-12272,14720,-32592,0x1,17,0\n"
~"397,1205,803,3,-9744,16320,-32560,0x1,81,0\n"
~"398,1207,805,3,-6208,18192,-32592,0x1,145,0\n"
~"399,1209,807,3,-2768,19216,-32592,0x1,209,0\n"
~"400,1211,809,3,-2240,19120,-32560,0x1,17,0\n"
~"401,1213,811,3,304,19808,-32560,0x1,81,0\n"
~"402,1215,813,3,3264,20016,-32560,0x1,145,0\n"
~"403,1217,815,3,8752,19856,-32560,0x1,209,0\n"
~"404,1219,817,3,15520,17904,-32560,0x1,17,0\n"
~"405,1221,819,3,17872,16512,-32560,0x1,81,0\n"
~"406,1223,821,3,20656,14976,-32592,0x1,177,0\n"
~"407,1225,823,3,21296,14048,-32592,0x1,17,0\n"
~"408,1227,825,3,22144,13232,-32560,0x1,113,0\n"
~"409,1229,827,3,22976,11968,-32560,0x1,209,0\n"
~"410,1231,829,3,24688,9680,-32592,0x1,17,0\n"
~"411,1233,831,3,25728,7600,-32592,0x1,113,0\n"
~"412,1235,833,3,26688,4400,-32592,0x1,177,0\n"
~"413,1237,835,3,26944,-176,-32592,0x1,241,0\n"
~"414,1239,837,3,26880,-5632,-32592,0x1,49,0\n"
~"415,1241,839,3,26320,-10128,-32592,0x1,113,0\n"
~"416,1243,841,3,25088,-13664,-32560,0x1,177,0\n"
~"417,1246,844,3,24176,-16064,-32592,0x1,81,0\n"
~"418,1248,846,3,21856,-19488,-32592,0x1,81,0\n"
~"419,1250,848,3,16800,-24720,-32560,0x1,145,0\n"
~"420,1252,850,3,13904,-26640,-32560,0x1,209,0\n"
~"421,1254,852,3,10160,-28752,-32592,0x1,17,0\n"
~"422,1256,854,3,7568,-29520,-32592,0x1,81,0\n"
~"423,1258,856,3,2912,-30160,-32560,0x1,145,0\n"
