Timestamp(ms),Current(uA)
12920,6964.691
12930,7001.448
12940,7008.003
12950,6970.327
12960,7013.164
12970,7010.255
12980,6994.220
12990,7031.173
13000,6983.305
13010,7030.342
13020,7055.147
13030,7051.372
13040,6940.437
13050,7033.777
13060,7020.915
13070,7004.442
13080,7092.992
13090,11101.692
13100,13029.518
13110,14593.644
13120,14752.254
13130,14090.749
13140,13371.349
13150,12800.387
13160,12287.602
13170,11419.489
13180,10566.130
13190,9703.075
13200,8987.912
13210,8394.756
13220,7880.206
13230,7476.724
13240,7321.205
13250,7152.253
13260,7039.390
13270,6998.994
13280,6978.327
13290,6987.194
13300,7016.275
13310,6987.849
13320,6949.796
13330,7008.530
13340,7016.801
13350,6943.376
13360,6943.958
13370,6942.505
13380,6975.621
13390,6984.276
13400,7052.597
13410,7029.745
13420,6976.406
13430,6976.947
13440,6916.377
13450,6939.947
13460,6971.244
13470,6934.864
13480,6957.939
13490,6968.210
13500,6981.430
13510,6936.502
13520,7014.309
13530,7035.708
13540,6989.433
13550,6979.809
13560,6953.473
13570,6948.402
13580,6949.839
13590,6980.542
13600,6943.408
13610,6988.739
13620,7007.601
13630,6966.266
13640,6942.762
13650,6944.253
13660,6988.137
13670,6927.692
13680,6938.788
13690,7036.731
13700,7004.631
13710,7055.527
13720,7039.140
13730,7065.057
13740,6991.842
13750,7001.154
13760,6999.526
13770,7046.136
13780,6984.975
13790,7042.663
13800,11206.128
13810,13105.393
13820,14553.377
13830,14681.180
13840,13879.698
13850,13264.632
13860,12750.332
13870,12337.338
13880,11392.990
13890,10589.457
13900,9762.622
13910,8981.645
13920,8384.154
13930,7969.003
13940,7520.642
13950,7333.071
13960,7204.495
13970,7051.192
13980,6974.218
13990,6940.981
14000,6929.474
14010,6990.695
14020,7010.732
14030,7014.360
14040,6998.414
14050,6980.217
14060,6965.765
14070,7008.945
14080,6995.982
14090,7068.892
14100,7021.268
14110,6974.783
14120,7015.231
14130,6977.256
14140,7030.959
14150,7029.715
14160,7010.882
14170,7022.325
14180,6974.423
14190,7006.316
14200,7007.359
14210,6982.452
14220,6962.424
14230,7040.610
14240,7026.762
14250,7050.451
14260,6991.202
14270,7070.295
14280,7017.879
14290,7024.838
14300,10262.698
14310,12692.516
14320,14381.273
14330,14673.445
14340,14261.118
14350,13433.325
14360,13042.963
14370,12488.559
14380,11764.107
14390,10838.758
14400,10061.969
14410,9179.010
14420,8470.433
14430,8002.786
14440,7629.988
14450,7402.131
14460,7285.740
14470,7119.182
14480,7044.031
14490,6981.858
14500,6947.985
14510,6973.106
14520,7005.731
14530,7024.031
14540,6969.810
14550,7008.321
14560,6983.371
14570,6976.709
14580,7017.559
14590,7031.397
14600,7012.254
14610,6977.129
14620,6993.027
14630,7003.811
14640,7078.815
14650,7066.193
14660,7078.582
14670,7075.951
14680,7037.181
14690,7028.921
14700,7098.633
14710,7169.581
14720,7175.486
14730,7170.317
14740,7173.896
14750,7172.905
14760,7186.332
14770,7240.306
14780,7274.456
14790,7285.380
14800,7367.327
14810,7365.159
14820,7424.848
14830,7482.840
14840,7444.364
14850,7437.239
14860,7411.414
14870,7425.833
14880,7438.444
14890,7427.874
14900,7413.238
14910,7420.799
14920,7472.724
14930,7404.859
14940,7442.691
14950,7421.599
14960,7461.738
14970,7386.489
14980,7438.730
14990,7414.803
15000,7443.363
15010,7406.985
15020,7425.827
15030,11527.670
15040,13373.269
15050,14679.548
15060,14541.556
15070,14051.444
15080,13338.090
15090,12827.549
15100,12289.932
15110,11359.317
15120,10486.762
15130,9690.732
15140,9011.729
15150,8355.479
15160,7867.084
15170,7500.335
15180,7356.443
15190,7265.812
15200,7243.008
15210,7117.351
15220,7081.227
15230,7057.574
15240,7073.057
15250,7081.770
15260,7109.802
15270,7115.959
15280,7124.138
15290,7081.595
15300,7121.774
15310,7057.481
15320,7093.796
15330,7062.815
15340,7074.790
15350,7078.603
15360,7092.814
15370,7143.930
15380,7080.000
15390,7156.615
15400,7072.876
15410,7085.662
15420,7113.960
15430,7065.468
15440,7073.784
15450,7159.479
15460,7117.136
15470,7089.645
15480,7085.545
15490,7026.288
15500,7092.059
15510,7100.094
15520,7072.776
15530,7079.821
15540,7080.875
15550,7088.818
15560,7120.141
15570,7113.137
15580,7126.241
15590,8114.829
15600,12250.427
15610,13945.797
15620,14696.742
15630,14352.455
15640,13623.913
15650,13110.037
15660,12654.119
15670,11879.662
15680,10993.912
15690,10205.724
15700,9440.467
15710,8714.106
15720,7994.561
15730,7603.031
15740,7403.626
15750,7268.508
15760,7146.482
15770,7021.941
15780,6932.260
15790,6993.620
15800,7034.958
15810,7006.847
15820,7047.481
15830,7022.531
15840,6980.870
15850,6949.831
15860,7030.075
15870,6919.029
15880,6975.182
15890,6995.075
15900,6971.847
15910,6899.291
15920,6929.367
15930,6946.764
15940,6966.028
15950,6921.332
15960,6946.301
15970,6925.900
15980,6942.528
15990,6994.772
16000,6952.396
16010,6969.397
16020,6990.663
16030,7089.749
16040,6993.222
16050,7038.967
16060,6982.894
16070,7047.896
16080,6996.514
16090,6961.392
16100,6982.866
16110,6954.585
16120,6969.950
16130,6993.261
16140,6977.906
16150,6956.081
16160,6994.136
16170,6991.695
16180,6999.739
16190,6958.356
16200,6980.385
16210,6973.012
16220,6977.903
16230,6947.963
16240,6930.808
16250,6923.554
16260,7010.343
16270,6972.150
16280,6933.955
16290,6919.091
16300,6920.378
16310,6966.293
16320,7015.735
16330,11244.753
16340,13235.478
16350,14465.614
16360,14487.851
16370,14047.509
16380,13364.650
16390,12829.105
16400,12305.846
16410,11372.988
16420,10511.539
16430,9717.452
16440,8983.641
16450,8219.751
16460,7749.191
16470,7412.245
16480,7259.145
16490,7138.444
16500,7070.741
16510,7036.004
16520,6963.418
16530,6945.834
16540,6903.792
16550,6942.806
16560,6887.603
16570,7060.538
16580,6987.492
16590,6931.731
16600,6954.353
16610,6980.235
16620,6948.170
16630,7024.331
16640,6925.797
16650,6934.599
16660,6912.568
16670,6943.228
16680,6948.621
16690,7050.987
16700,6961.344
16710,6934.477
16720,6915.683
16730,6931.387
16740,6872.201
16750,6874.986
16760,6895.826
16770,6950.396
16780,6934.450
16790,6907.754
16800,6951.669
16810,6929.688
16820,6931.813
16830,6927.335
16840,6863.985
16850,6913.766
16860,6881.472
16870,6881.139
16880,6900.858
16890,6925.943
16900,6877.850
16910,6901.257
16920,6908.766
16930,6880.689
16940,6907.347
16950,6895.188
16960,6889.351
16970,6907.586
16980,6875.497
16990,6917.513
17000,6866.558
17010,6888.855
17020,7006.509
17030,6968.729
17040,6963.822
17050,6920.343
17060,6902.964
17070,6891.242
17080,6945.524
17090,6908.534
17100,6929.100
17110,6897.437
17120,6907.970
17130,6877.060
17140,6875.352
17150,6849.555
17160,6904.938
17170,6858.470
17180,6851.092
17190,6908.084
17200,6956.721
17210,6898.658
17220,6874.255
17230,6881.950
17240,6939.096
17250,6951.631
17260,6871.589
17270,6841.105
17280,6912.248
17290,6864.052
17300,6907.738
17310,6916.465
17320,6963.811
17330,6884.418
17340,6914.336
17350,10923.792
17360,12837.681
17370,14408.438
17380,14568.951
17390,13991.250
17400,13374.031
17410,12771.734
17420,12265.618
17430,11394.214
17440,10497.783
17450,9606.803
17460,8804.005
17470,8103.031
17480,7644.189
17490,7367.721
17500,7209.537
17510,7053.078
